id_natureza_juridica;desc_natureza_juridica;cod_natureza_juridica
1;ASSOCIACAO PRIVADA;3999
2;AUTARQUIA FEDERAL;1104
3;AUTARQUIA MUNICIPAL;1120
4;CANDIDATO A CARGO POLITICO ELETIVO;4090
5;CLUBE FUNDO DE INVESTIMENTO;2224
6;CONDOMINIO EDILICIO;3085
7;CONSORCIO DE EMPREGADORES;2283
8;CONSORCIO DE SOCIEDADES;2151
9;COOPERATIVA;2143
10;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;2305
11;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES;2313
12;EMPRESA INDIVIDUAL IMOBILIARIA;4014
13;EMPRESA PUBLICA;2011
14;EMPRESARIO INDIVIDUAL;2135
15;ENTIDADE SINDICAL;3131
16;FUNDACAO PRIVADA;3069
17;FUNDACAO PUB DE DIREITO PUB EST OU DO DF;1147
18;FUNDO PUBLICO;1201
19;MUNICIPIO;1244
20;ORGANIZACAO RELIGIOSA;3220
21;ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO;3271
22;ORGAO DE DIRECAO REGIONAL DE PARTIDO POLITICO;3263
23;ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1023
24;ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;1015
25;ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;1031
26;ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;1066
27;PRODUTOR RURAL PESSOA FISICA;4120
28;REPRESENTACAO DIPLOMATICA ESTRANGEIRA;5029
29;SERVICO NOTARIAL E REGISTRAL CARTORIO;3034
30;SERVICO SOCIAL AUTONOMO;3077
31;SOCIEDADE ANONIMA ABERTA;2046
32;SOCIEDADE ANONIMA FECHADA;2054
33;SOCIEDADE DE ECONOMIA MISTA;2038
34;SOCIEDADE EM CONTA DE PARTICIPACAO;2127
35;SOCIEDADE EMPRESARIA EM NOME COLETIVO;2070
36;SOCIEDADE EMPRESARIA LIMITADA;2062
37;SOCIEDADE SIMPLES LIMITADA;2240
38;SOCIEDADE SIMPLES PURA;2232
